A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_NET_SHORT!PIN_NO_SWAP_PIN!PIN_NO_PIN_ESCAPE!PIN_CDS_PINID!PIN_XNET_PINS!PIN_PIN_ESCAPE!PIN_PIN_SIGNAL_MODEL!PIN_NO_DRC!PIN_NO_SHAPE_CONNECT!
J!C:/GitHub_Orcad_Projects/Grid-TInv_TIDA-01606/TIDA-01606_PowerCard/Board/solutionstida01606_powercard_rev17.brd!Mon Feb 12 16:30:49 2024!-2454.000!-4774.484!22546.000!20225.516!0.001!mils!TIDA01606_POWERCARD_0!94.400000 mil!4!UP TO DATE!
S!ILA_P!U9!3!@tida01606_powercard_0.schematic1(sch_1):ins14485159@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F4!!!!!!!!!!
S!3.3V_U9!U9!4!@tida01606_powercard_0.schematic1(sch_1):ins14485159@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F4!!!!!!!!!!
S!3.3V_U9!U9!4!@tida01606_powercard_0.schematic1(sch_1):ins14485201@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F3!!!!!!!!!!
S!3.3V_U9!U9!4!@tida01606_powercard_0.schematic1(sch_1):ins14485243@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F2!!!!!!!!!!
S!3.3V_U9!U9!4!@tida01606_powercard_0.schematic1(sch_1):ins14485285@tida01606_powercard_0.\opa4340_8.normal\(chips)!OPA4340_8_SOIC14_OPA4340UA!!!F1!!!!!!!!!!
S!N14292940!C114!1!@tida01606_powercard_0.schematic1(sch_1):ins14292958@discrete.\cap np.normal\(chips)!CAP NP_SNPD0805_MODIFIED_4.7U 0805 50V!!!F480!!!!!!!!!!
S!VINV_C!C114!2!@tida01606_powercard_0.schematic1(sch_1):ins14292958@discrete.\cap np.normal\(chips)!CAP NP_SNPD0805_MODIFIED_4.7U 0805 50V!!!F480!!!!!!!!!!
S!+12V!C125!1!@tida01606_powercard_0.schematic1(sch_1):ins14321074@discrete.\cap np.normal\(chips)!CAP NP_SNPD0805_MODIFIED_4.7U 0805 50V!!!F479!!!!!!!!!!
S!GND!C125!2!@tida01606_powercard_0.schematic1(sch_1):ins14321074@discrete.\cap np.normal\(chips)!CAP NP_SNPD0805_MODIFIED_4.7U 0805 50V!!!F479!!!!!!!!!!
S!N14288675!C105!1!@tida01606_powercard_0.schematic1(sch_1):ins14288645@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F478!!!!!!!!!!
S!VINV_A!C105!2!@tida01606_powercard_0.schematic1(sch_1):ins14288645@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F478!!!!!!!!!!
S!N14289456!C106!1!@tida01606_powercard_0.schematic1(sch_1):ins14289426@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F477!!!!!!!!!!
S!VINV_B!C106!2!@tida01606_powercard_0.schematic1(sch_1):ins14289426@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F477!!!!!!!!!!
S!N14292350!C107!1!@tida01606_powercard_0.schematic1(sch_1):ins14292416@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F476!!!!!!!!!!
S!GND!C107!2!@tida01606_powercard_0.schematic1(sch_1):ins14292416@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F476!!!!!!!!!!
S!+6V_VDC_3!C110!1!@tida01606_powercard_0.schematic1(sch_1):ins14292628@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F475!!!!!!!!!!
S!VINV_C!C110!2!@tida01606_powercard_0.schematic1(sch_1):ins14292628@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F475!!!!!!!!!!
S!+6V_VDC_3!C112!1!@tida01606_powercard_0.schematic1(sch_1):ins14292814@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F474!!!!!!!!!!
S!VINV_C!C112!2!@tida01606_powercard_0.schematic1(sch_1):ins14292814@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F474!!!!!!!!!!
S!N14292928!C116!1!@tida01606_powercard_0.schematic1(sch_1):ins14292898@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F473!!!!!!!!!!
S!VINV_C!C116!2!@tida01606_powercard_0.schematic1(sch_1):ins14292898@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F473!!!!!!!!!!
S!N14285734!C16!1!@tida01606_powercard_0.schematic1(sch_1):ins14285800@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F472!!!!!!!!!!
S!GND!C16!2!@tida01606_powercard_0.schematic1(sch_1):ins14285800@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F472!!!!!!!!!!
S!N14287499!C17!1!@tida01606_powercard_0.schematic1(sch_1):ins14287565@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F471!!!!!!!!!!
S!GND!C17!2!@tida01606_powercard_0.schematic1(sch_1):ins14287565@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F471!!!!!!!!!!
S!+6V_VDC_1!C93!1!@tida01606_powercard_0.schematic1(sch_1):ins14286012@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F470!!!!!!!!!!
S!VINV_A!C93!2!@tida01606_powercard_0.schematic1(sch_1):ins14286012@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F470!!!!!!!!!!
S!+6V_VDC_2!C95!1!@tida01606_powercard_0.schematic1(sch_1):ins14287777@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F469!!!!!!!!!!
S!VINV_B!C95!2!@tida01606_powercard_0.schematic1(sch_1):ins14287777@discrete.\cap np.normal\(chips)!CAP NP_1210MODIFIED_10U 1210 35V!!!F469!!!!!!!!!!
